task_name,pct
accept commissions to create music for special occasions.,0.0020541557625231607
act as advisers to student organizations.,0.004827266041929427
act as an advocate for farmers or farmers' groups.,0.0016433246100185286
act as an intermediary in negotiations between buyers and sellers over property prices and settlement details and during the closing of sales.,0.004724558253803269
"act as an intermediary in negotiations between buyers and sellers, generally representing one or the other.",0.007086837380704904
act as liaisons between on-site managers or tenants and owners.,0.002773110279406267
adapt instructional content or delivery methods for different levels or types of learners.,0.2042857905829283
adapt or design computer hardware or software for medical science uses.,0.0038001881606678474
adapt software and accompanying technical documents to another language and culture.,0.003697480372541689
adapt teaching methods and instructional materials to meet students' varying needs and interests.,0.12941181303895913
adapt text to accommodate musical requirements of composers and singers.,0.011811395634508174
adapt the quantity of ingredients to match the amount of items to be baked.,0.0031839414319108986
"adapt translations to students' cognitive and grade levels, collaborating with educational team members as necessary.",0.029271719615955035
"address employee relations issues, such as harassment allegations, work complaints, or other employee concerns.",0.0017460323981446867
"address legal issues, such as child abuse and discipline, assisting with hearings and providing testimony to inform custody arrangements.",0.0023622791269016347
"address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols.",0.22790858185194468
"adjust controls to regulate temperature, pressure, feed, or flow of liquids or gases and times of prescribed reactions, according to knowledge of equipment and processes.",0.002156863550649319
"adjust digital files to alter print elements, such as fonts, graphics, or color separations.",0.005546220558812534
adjust sales scripts to better target the needs and interests of specific individuals.,0.004827266041929427
"adjust, maintain, or repair laboratory equipment such as microscopes.",0.0016433246100185286
"adjust, repair, or replace malfunctioning components or assemblies, using hand tools or soldering irons.",0.004108311525046321
administer document and system access rights and revision control to ensure security of system and integrity of master documents.,0.008935577566975748
"administer highway planning, construction, or maintenance.",0.0034920647962893734
administer online purchasing systems.,0.006367882863821797
administer standardized ability and achievement tests and interpret results to determine students' strengths and areas of need.,0.004211019313172479
"administer treatments or therapies, such as homeopathy, hydrotherapy, oriental or ayurvedic medicine, electrotherapy and diathermy, using physical agents including air, heat, cold, water, sound, or ultraviolet light to catalyze the body to heal itself.",0.013557428032652861
"administer, dispense, or prescribe natural medicines such as food or botanical extracts, herbs, dietary supplements, vitamins, nutraceuticals, and amino acids.",0.019206356379591553
"administer, proctor, or score academic or diagnostic assessments.",0.04621850465677112
"advise animal owners regarding sanitary measures, feeding, general care, medical conditions, or treatment options.",0.03019608970909046
"advise attorneys, juries, litigants, and court personnel regarding conduct, issues, and proceedings.",0.0023622791269016347
"advise business or other groups on local, national, or international factors affecting the buying or selling of products or services.",0.01509804485454523
"advise client on interior design factors such as space planning, layout and use of furnishings or equipment, and color coordination.",0.009757239871985013
advise clients about proper clothing and shoes.,0.002464986915027793
"advise clients concerning business transactions, claim liability, advisability of prosecuting or defending lawsuits, or legal rights and obligations.",0.009449116507606539
advise clients on financial and legal matters such as investments and taxes.,0.035126063539146046
advise clients on how they could be helped by counseling.,0.025779654819665664
"advise clients on market conditions, prices, mortgages, legal requirements and related matters.",0.03769375824229999
advise clients on nail care and use of products and colors.,0.0026704024912801087
"advise clients or community groups on issues related to improving general health, such as diet or exercise.",0.003286649220037057
"advise construction firms or government agencies on dam or road construction, foundation design, land use, or resource management.",0.00883286977884959
advise corporations on issues involving corporate image projects or problems.,0.009038285355101906
advise customer about or perform maintenance of software system.,0.005340804982560217
"advise customers concerning equipment operation, maintenance, or programming.",0.002567694703153951
advise customers of necessary actions and strategies for debt repayment.,0.006162467287569483
advise customers on plant selection or care.,0.0022595713387754766
advise customers on product usage to improve production.,0.0016433246100185286
advise customers on use and care of merchandise.,0.0038001881606678474
advise farm groups or growers on land preparation or livestock care techniques that will maximize the quantity and quality of production.,0.0016433246100185286
"advise farmers and demonstrate techniques in areas such as feeding and health maintenance of livestock, growing and harvesting practices, and financial planning.",0.004211019313172479
advise farmers or growers of development programs or new equipment or techniques to aid in quality production.,0.01407096697328365
"advise food service managers and organizations on sanitation, safety procedures, menu development, budgeting, and planning to assist with the establishment, operation, and evaluation of food service facilities and nutrition programs.",0.0019514479743970028
advise internal management or business partners on the implementation or operation of compliance programs.,0.004005603736920163
"advise licensees or other individuals or groups concerning licensing, permit, or passport regulations.",0.0016433246100185286
"advise management concerning personnel, managerial, and marketing policies and practices and their potential effects on organizational effectiveness and efficiency.",0.022184882235250135
advise management on matters related to the administration of contracts or employee discipline or grievance procedures.,0.002156863550649319
